Seed,K,Gamma,GlobalFC
6,0.5,0.25,0.8988
6,0.5,0.5,0.7527
6,0.5,0.75,0.6538
6,0.5,1,0.6058
6,0.5,1.25,0.5773
6,0.5,1.5,0.5443
6,0.5,1.75,0.519
6,0.75,0.25,0.9312
6,0.75,0.5,0.8089
6,0.75,0.75,0.717
6,0.75,1,0.657
6,0.75,1.25,0.6178
6,0.75,1.5,0.5872
6,0.75,1.75,0.5614
6,1,0.25,0.9489
6,1,0.5,0.8439
6,1,0.75,0.7579
6,1,1,0.6959
6,1,1.25,0.6521
6,1,1.5,0.6195
6,1,1.75,0.5935
6,1.25,0.25,0.9595
6,1.25,0.5,0.8693
6,1.25,0.75,0.7883
6,1.25,1,0.7268
6,1.25,1.25,0.6811
6,1.25,1.5,0.6467
6,1.25,1.75,0.6197
6,1.5,0.25,0.9661
6,1.5,0.5,0.889
6,1.5,0.75,0.8128
6,1.5,1,0.7525
6,1.5,1.25,0.7062
6,1.5,1.5,0.6705
6,1.5,1.75,0.6424
6,1.75,0.25,0.9702
6,1.75,0.5,0.9048
6,1.75,0.75,0.8333
6,1.75,1,0.7745
6,1.75,1.25,0.7281
6,1.75,1.5,0.6917
6,1.75,1.75,0.6627
7,0.25,0.25,0.8119
7,0.25,0.5,0.63
7,0.25,0.75,0.5392
7,0.25,1,0.4654
7,0.25,1.25,0.4178
7,0.25,1.5,0.3913
7,0.25,1.75,0.3979
7,0.5,0.25,0.892
7,0.5,0.5,0.739
7,0.5,0.75,0.6359
7,0.5,1,0.5662
7,0.5,1.25,0.518
7,0.5,1.5,0.4866
7,0.5,1.75,0.4714
7,0.75,0.25,0.9246
7,0.75,0.5,0.7943
7,0.75,0.75,0.6969
7,0.75,1,0.6286
7,0.75,1.25,0.5804
7,0.75,1.5,0.5471
7,0.75,1.75,0.5259
7,1,0.25,0.9425
7,1,0.5,0.8306
7,1,0.75,0.7392
7,1,1,0.6723
7,1,1.25,0.6238
7,1,1.5,0.5888
7,1,1.75,0.5642
7,1.25,0.25,0.9535
7,1.25,0.5,0.8575
7,1.25,0.75,0.7716
7,1.25,1,0.7063
7,1.25,1.25,0.6575
7,1.25,1.5,0.6211
7,1.25,1.75,0.5942
7,1.5,0.25,0.9606
7,1.5,0.5,0.8785
7,1.5,0.75,0.798
7,1.5,1,0.7343
7,1.5,1.25,0.6855
7,1.5,1.5,0.6481
7,1.5,1.75,0.6196
7,1.75,0.25,0.9653
7,1.75,0.5,0.8954
7,1.75,0.75,0.8202
7,1.75,1,0.7583
7,1.75,1.25,0.7096
7,1.75,1.5,0.6716
7,1.75,1.75,0.6419
8,0.25,0.25,0.8038
8,0.25,0.5,0.6385
8,0.25,0.75,0.5294
8,0.25,1,0.4781
8,0.25,1.25,0.4856
8,0.25,1.5,0.5214
8,0.25,1.75,0.5498
8,0.5,0.25,0.8855
8,0.5,0.5,0.7493
8,0.5,0.75,0.653
8,0.5,1,0.5931
8,0.5,1.25,0.568
8,0.5,1.5,0.5676
8,0.5,1.75,0.5747
8,0.75,0.25,0.9187
8,0.75,0.5,0.7971
8,0.75,0.75,0.7119
8,0.75,1,0.6534
8,0.75,1.25,0.6179
8,0.75,1.5,0.6002
8,0.75,1.75,0.5924
8,1,0.25,0.938
8,1,0.5,0.8279
8,1,0.75,0.7475
8,1,1,0.6906
8,1,1.25,0.6516
8,1,1.5,0.6267
8,1,1.75,0.6115
8,1.25,0.25,0.9506
8,1.25,0.5,0.8516
8,1.25,0.75,0.7737
8,1.25,1,0.7176
8,1.25,1.25,0.6773
8,1.25,1.5,0.649
8,1.25,1.75,0.6296
8,1.5,0.25,0.9591
8,1.5,0.5,0.8708
8,1.5,0.75,0.7952
8,1.5,1,0.7395
8,1.5,1.25,0.6984
8,1.5,1.5,0.6682
8,1.5,1.75,0.6462
8,1.75,0.25,0.9648
8,1.75,0.5,0.8868
8,1.75,0.75,0.8138
8,1.75,1,0.7584
8,1.75,1.25,0.7168
8,1.75,1.5,0.6854
8,1.75,1.75,0.6616
9,0.25,0.25,0.8174
9,0.25,0.5,0.6562
9,0.25,0.75,0.5652
9,0.25,1,0.5236
9,0.25,1.25,0.4812
9,0.25,1.5,0.4494
9,0.25,1.75,0.4427
9,0.5,0.25,0.8936
9,0.5,0.5,0.749
9,0.5,0.75,0.6522
9,0.5,1,0.5894
9,0.5,1.25,0.5469
9,0.5,1.5,0.5155
9,0.5,1.75,0.4975
9,0.75,0.25,0.9261
9,0.75,0.5,0.7989
9,0.75,0.75,0.7063
9,0.75,1,0.641
9,0.75,1.25,0.5947
9,0.75,1.5,0.562
9,0.75,1.75,0.539
9,1,0.25,0.9447
9,1,0.5,0.8332
9,1,0.75,0.7447
9,1,1,0.6801
9,1,1.25,0.6326
9,1,1.5,0.5976
9,1,1.75,0.5719
9,1.25,0.25,0.9565
9,1.25,0.5,0.8594
9,1.25,0.75,0.7751
9,1.25,1,0.7114
9,1.25,1.25,0.6633
9,1.25,1.5,0.6271
9,1.25,1.75,0.5995
9,1.5,0.25,0.964
9,1.5,0.5,0.8803
9,1.5,0.75,0.8003
9,1.5,1,0.7377
9,1.5,1.25,0.6895
9,1.5,1.5,0.6524
9,1.5,1.75,0.6235
9,1.75,0.25,0.9689
9,1.75,0.5,0.8972
9,1.75,0.75,0.8218
9,1.75,1,0.7606
9,1.75,1.25,0.7125
9,1.75,1.5,0.6747
9,1.75,1.75,0.645
10,0.25,0.25,0.8232
10,0.25,0.5,0.6537
10,0.25,0.75,0.5772
10,0.25,1,0.5469
10,0.25,1.25,0.5016
10,0.25,1.5,0.4816
10,0.25,1.75,0.4736
10,0.5,0.25,0.8996
10,0.5,0.5,0.7557
10,0.5,0.75,0.6675
10,0.5,1,0.6145
10,0.5,1.25,0.5816
10,0.5,1.5,0.5536
10,0.5,1.75,0.5252
10,0.75,0.25,0.9292
10,0.75,0.5,0.8086
10,0.75,0.75,0.7207
10,0.75,1,0.6615
10,0.75,1.25,0.6204
10,0.75,1.5,0.5894
10,0.75,1.75,0.5632
10,1,0.25,0.9454
10,1,0.5,0.8423
10,1,0.75,0.7582
10,1,1,0.6975
10,1,1.25,0.6534
10,1,1.5,0.6202
10,1,1.75,0.5939
10,1.25,0.25,0.9552
10,1.25,0.5,0.8667
10,1.25,0.75,0.7873
10,1.25,1,0.7268
10,1.25,1.25,0.6814
10,1.25,1.5,0.6467
10,1.25,1.75,0.6196
10,1.5,0.25,0.9614
10,1.5,0.5,0.8855
10,1.5,0.75,0.8109
10,1.5,1,0.7515
10,1.5,1.25,0.7056
10,1.5,1.5,0.67
10,1.5,1.75,0.6419
10,1.75,0.25,0.9653
10,1.75,0.5,0.9004
10,1.75,0.75,0.8307
10,1.75,1,0.7728
10,1.75,1.25,0.727
10,1.75,1.5,0.6907
10,1.75,1.75,0.6619
11,0.25,0.25,0.8332
11,0.25,0.5,0.6819
11,0.25,0.75,0.5701
11,0.25,1,0.5179
11,0.25,1.25,0.4907
11,0.25,1.5,0.466
11,0.25,1.75,0.4326
11,0.5,0.25,0.9034
11,0.5,0.5,0.7649
11,0.5,0.75,0.6647
11,0.5,1,0.5924
11,0.5,1.25,0.55
11,0.5,1.5,0.5216
11,0.5,1.75,0.4996
11,0.75,0.25,0.9323
11,0.75,0.5,0.8117
11,0.75,0.75,0.7205
11,0.75,1,0.6525
11,0.75,1.25,0.6042
11,0.75,1.5,0.5704
11,0.75,1.75,0.5452
11,1,0.25,0.9482
11,1,0.5,0.8441
11,1,0.75,0.7582
11,1,1,0.6935
11,1,1.25,0.6449
11,1,1.5,0.6085
11,1,1.75,0.5807
11,1.25,0.25,0.9577
11,1.25,0.5,0.8686
11,1.25,0.75,0.7874
11,1.25,1,0.7247
11,1.25,1.25,0.6764
11,1.25,1.5,0.6391
11,1.25,1.75,0.6099
11,1.5,0.25,0.9636
11,1.5,0.5,0.8879
11,1.5,0.75,0.8115
11,1.5,1,0.7503
11,1.5,1.25,0.7025
11,1.5,1.5,0.6647
11,1.5,1.75,0.6347
11,1.75,0.25,0.9673
11,1.75,0.5,0.9034
11,1.75,0.75,0.8319
11,1.75,1,0.7724
11,1.75,1.25,0.7249
11,1.75,1.5,0.687
11,1.75,1.75,0.6564
12,0.25,0.25,0.8281
12,0.25,0.5,0.6688
12,0.25,0.75,0.5818
12,0.25,1,0.4934
12,0.25,1.25,0.4486
12,0.25,1.5,0.4337
12,0.25,1.75,0.4099
12,0.5,0.25,0.9062
12,0.5,0.5,0.7683
12,0.5,0.75,0.6703
12,0.5,1,0.5955
12,0.5,1.25,0.5402
12,0.5,1.5,0.5009
12,0.5,1.75,0.4701
12,0.75,0.25,0.9356
12,0.75,0.5,0.8182
12,0.75,0.75,0.7269
12,0.75,1,0.6573
12,0.75,1.25,0.603
12,0.75,1.5,0.5608
12,0.75,1.75,0.5281
12,1,0.25,0.9516
12,1,0.5,0.8503
12,1,0.75,0.765
12,1,1,0.6989
12,1,1.25,0.6467
12,1,1.5,0.6052
12,1,1.75,0.5724
12,1.25,0.25,0.9611
12,1.25,0.5,0.8739
12,1.25,0.75,0.7937
12,1.25,1,0.7302
12,1.25,1.25,0.6797
12,1.25,1.5,0.6391
12,1.25,1.75,0.6065
12,1.5,0.25,0.9669
12,1.5,0.5,0.8923
12,1.5,0.75,0.8169
12,1.5,1,0.7556
12,1.5,1.25,0.7063
12,1.5,1.5,0.6664
12,1.5,1.75,0.634
12,1.75,0.25,0.9702
12,1.75,0.5,0.9071
12,1.75,0.75,0.8364
12,1.75,1,0.777
12,1.75,1.25,0.7288
12,1.75,1.5,0.6894
12,1.75,1.75,0.6571
13,0.25,0.25,0.8046
13,0.25,0.5,0.6182
13,0.25,0.75,0.5157
13,0.25,1,0.4553
13,0.25,1.25,0.4161
13,0.25,1.5,0.4146
13,0.25,1.75,0.4346
13,0.5,0.25,0.8902
13,0.5,0.5,0.734
13,0.5,0.75,0.63
13,0.5,1,0.5592
13,0.5,1.25,0.5125
13,0.5,1.5,0.4865
13,0.5,1.75,0.4738
13,0.75,0.25,0.9237
13,0.75,0.5,0.7921
13,0.75,0.75,0.6941
13,0.75,1,0.624
13,0.75,1.25,0.5737
13,0.75,1.5,0.5391
13,0.75,1.75,0.5166
13,1,0.25,0.9418
13,1,0.5,0.8285
13,1,0.75,0.7364
13,1,1,0.6679
13,1,1.25,0.617
13,1,1.5,0.5794
